Season,Name,Team,IP,ERA,K/BB,AVG,WHIP,BABIP,FIP,LD%,GB%,FB%,IFFB%,HR/FB,xFIP,SwStr%,K%,BB%,K-BB%,SIERA,E-F,FA-Z (sc),Barrel%,HardHit%,xERA,Stf+ FA,Stuff+,Location+,Pitching+,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
2021,Jacob deGrom,NYM,92,1.076086957,13.27272727,0.128205128,0.554347826,0.2125,1.235251514,0.174698795,0.439759036,0.385542168,0.171875,0.09375,1.614807776,0.21615008,0.45061728,0.03395062,0.41666667,1.743321386,-0.159164557,9.581125433,0.06626506,0.36746988,,139.4875,151.4363785,105.67969,115.1132137,0.43236074,0.74576271,0.55301794,0.45092025,0.75568182,0.60914454,0.38499184,0.14192496,0.35807504,Jacob deGrom,10954,594798
2022,Jacob deGrom,NYM,64.1,3.077720451,12.75,0.173160173,0.746114049,0.258333333,2.133156313,0.188976377,0.393700787,0.417322834,0.075471698,0.16981132,1.534082355,0.2106383,0.42677824,0.0334728,0.39330544,1.585977527,0.944564138,9.788051999,0.09302326,0.31782946,,136.7403587,134.117766,107.0419149,115.8591489,0.41226576,0.76487252,0.54468085,0.47933884,0.73333333,0.61328125,0.37553191,0.14361702,0.35425532,Jacob deGrom,10954,594798
2021,Corbin Burnes,MIL,167,2.425149701,6.88235294,0.199351702,0.94011976,0.308510638,1.631111967,0.208443271,0.488126649,0.303430079,0.078260869,0.060869565,2.301181695,0.16615266,0.35616438,0.05175038,0.304414,2.610739581,0.794037734,8.215029203,0.03133159,0.30548303,,104.0589744,143.206308,104.3480263,111.1207817,0.3776797,0.6547619,0.48535081,0.48914858,0.81060606,0.65766481,0.38858905,0.17232074,0.3384734,Corbin Burnes,19361,669203
2023,Spencer Strider,ATL,186.2,3.857143067,4.84482759,0.209770115,1.092857202,0.315521628,2.853254623,0.222222222,0.34057971,0.437198067,0.093922651,0.121546961,2.924272489,0.18935484,0.36828309,0.07601573,0.29226737,2.858140736,1.003888444,10.80454104,0.07951807,0.36144578,,141.2149973,124.6112667,104.1066754,111.8857375,0.37865749,0.72418879,0.52984834,0.4469697,0.77393075,0.64250914,0.4375605,0.14870968,0.33806452,Spencer Strider,27498,675911
2021,Tyler Glasnow,TBR,88,2.659090909,4.55555556,0.17571885,0.931818182,0.25,2.77230685,0.178947368,0.452631578,0.368421052,0.114285714,0.142857142,2.698503996,0.17176998,0.36176471,0.07941176,0.28235294,2.915672554,-0.113215941,10.20528234,0.08947368,0.46842105,,131.4813314,132.1248503,100.7525449,109.8650449,0.32551724,0.68078176,0.4884242,0.36440678,0.80861244,0.64831804,0.45855116,0.16504854,0.33681852,Tyler Glasnow,14374,607192
2021,Shane Bieber,CLE,96.2,3.165517325,4.06060606,0.22826087,1.210344859,0.32735426,3.025206532,0.239316239,0.44017094,0.32051282,0.106666666,0.146666666,2.914797835,0.16164208,0.3308642,0.08148148,0.24938272,3.206546514,0.140310792,10.63924124,0.08974359,0.43162393,,84.41768953,107.8729032,101.7175484,103.8349032,0.35730088,0.64274809,0.47722899,0.43653251,0.83372922,0.66129032,0.42014112,0.17382938,0.33547146,Shane Bieber,19427,669456
2024,Chris Sale,ATL,140.2,2.623222939,5.84375,0.208494208,0.995260735,0.309597523,2.056246149,0.219512195,0.457317073,0.323170731,0.056603773,0.075471698,2.456077596,0.14492099,0.33633094,0.05755396,0.27877698,2.659703294,0.566976789,5.774319366,0.05135952,0.29003021,,97.05490909,99.61069789,103.7654729,102.5381084,0.37541254,0.636,0.49321881,0.56263736,0.8081761,0.70577452,0.45207957,0.19051919,0.33544018,Chris Sale,10603,519242
2023,Tyler Glasnow,TBR,120,3.525,4.37837838,0.208053691,1.083333333,0.294117647,2.913373693,0.171929824,0.512280701,0.315789473,0.044444444,0.144444444,2.745054175,0.16447714,0.33402062,0.07628866,0.25773196,3.075800837,0.611626307,9.959660457,0.11578947,0.44561404,,128.2566545,121.126452,100.6891235,108.6686906,0.32398453,0.67674419,0.48416051,0.37313433,0.82302405,0.65866957,0.45406547,0.16920652,0.33368366,Tyler Glasnow,14374,607192
2022,Shane McClanahan,TBR,166.1,2.54308625,5.10526316,0.193333333,0.925851732,0.250645995,3.004214565,0.196517412,0.502487562,0.300995024,0.074380165,0.157024793,2.596146604,0.15509541,0.30265211,0.05928237,0.24336974,2.815997288,-0.461128315,10.62888732,0.06403941,0.32512315,,107.2947548,112.8146341,102.3291057,106.6179675,0.35035971,0.68190299,0.49471974,0.52361396,0.79480164,0.6863711,0.43541836,0.1725538,0.32764921,Shane McClanahan,21483,663556
2021,Clayton Kershaw,LAD,121.2,3.550685006,6.85714286,0.221982759,1.019178103,0.28852459,2.997431379,0.184466019,0.485436893,0.330097087,0.117647058,0.147058823,2.873855516,0.16722038,0.29508197,0.04303279,0.25204918,3.095488828,0.553253627,11.38368979,0.06875,0.36875,,112.2823795,124.3710643,101.0090355,106.3977273,0.36,0.69398207,0.50442968,0.46341463,0.80811808,0.66849616,0.4324474,0.16002215,0.32724252,Clayton Kershaw,2036,477132
2022,Andrew Heaney,LAD,64.2,3.061855791,5.38888889,0.208,1.082474269,0.278571429,3.978410417,0.194630872,0.348993288,0.456375838,0.088235294,0.19117647,2.921685419,0.17015469,0.35018051,0.06498195,0.28519856,2.573424428,-0.916554627,8.076340077,0.11764706,0.46405229,,92.73357558,92.90655738,101.9135701,100.6521858,0.40030211,0.67276888,0.50864422,0.5245283,0.79251701,0.66547406,0.39763421,0.15468608,0.32484076,Andrew Heaney,15423,571760
